country,city,lat,lon,temp,max_temp,humid,cover,wind
KE,{'lodwar'},3.1191,35.5973,85.96,85.96,42,29,8.21
IN,{'tura'},25.5198,90.2201,75.29,75.29,98,100,7.2
CN,{'yichun'},47.7,128.9,48.65,48.65,92,26,2.62
JP,{'shingu'},33.7333,135.9833,79.92,79.92,94,100,5.95
US,{'sterling'},39.0062,-77.4286,97.18,101.41,47,1,1.01
JP,{'shimoda'},34.6667,138.95,77.59,77.59,87,100,13.91
BR,{'prata'},-19.3072,-48.9242,88.9,88.9,14,14,8.1
EC,{'muisne'},0.6,-80.0333,77.32,77.32,75,85,10.0
IS,{'hofn'},64.2539,-15.2082,55.42,55.42,71,40,12.66
SN,{'saint-louis'},16.3333,-15.0,107.24,107.24,12,100,13.29
IN,{'kavaratti'},10.5669,72.642,81.95,81.95,78,100,18.52
US,{'yarmouth'},41.7057,-70.2286,81.64,89.58,85,23,8.01
PF,{'tautira'},-17.7333,-149.15,78.82,78.82,80,46,16.75
CA,{'torbay'},47.6666,-52.7314,71.22,75.97,75,75,5.75
PT,{'lata'},40.1629,-8.3327,68.83,86.04,61,0,6.04
BR,{'vila velha'},-20.3297,-40.2925,78.75,78.75,69,20,13.8
IN,{'yanam'},16.7333,82.2167,84.87,84.87,66,97,4.76
UZ,{'nurota'},40.5614,65.6886,77.09,77.09,24,0,8.77
PT,{'praia da vitoria'},38.7333,-27.0667,80.85,80.85,61,20,13.33
MZ,{'chibuto'},-24.6867,33.5306,63.21,63.21,61,21,7.81
UG,{'lyantonde'},-0.4031,31.1572,68.07,68.07,70,48,3.44
ES,{'mao'},39.8885,4.2658,84.76,84.76,65,0,1.14
CD,{'kampene'},-3.6,26.6667,70.88,70.88,81,33,0.51
CO,{'arbelaez'},4.2725,-74.4151,81.46,81.46,67,64,3.47
NG,{'hadejia'},12.4498,10.0444,81.32,81.32,64,100,5.93
GM,{'kuntaur'},13.6667,-14.8833,86.97,86.97,56,29,5.68
CN,{'yumen'},40.2833,97.2,68.74,68.74,41,0,6.42
AU,{'geraldton'},-28.7667,114.6,43.21,43.21,93,2,5.75
BE,{'floreffe'},50.4347,4.7585,67.71,70.66,81,100,2.17
US,{'lompoc'},34.6391,-120.4579,79.77,95.22,63,20,3.0
MU,{'souillac'},-20.5167,57.5167,71.98,72.36,88,75,6.91
AU,{'kiama'},-34.6833,150.8667,59.22,60.39,60,73,15.79
YE,{'jiblah'},13.9216,44.1467,66.45,66.45,65,100,4.83
RE,{'le port'},-20.9373,55.2919,71.46,71.6,82,38,6.49
SA,{'faya'},18.3851,42.4509,70.32,70.32,58,82,4.32
NZ,{'gore'},-46.1028,168.9436,49.23,49.23,81,100,5.66
CO,{'uribia'},11.7139,-72.266,89.58,89.58,56,95,11.79
NO,{'tromso'},69.6496,18.957,55.42,57.85,94,90,10.36
SE,{'umea'},63.8284,20.2597,62.53,62.53,100,0,2.3
US,{'nanakuli'},21.3906,-158.1547,83.01,83.03,71,81,5.82
MX,{'mazatlan'},23.2167,-106.4167,91.02,91.02,77,36,1.99
PY,{'tacuati'},-23.45,-56.5833,61.86,61.86,67,100,6.06
ID,{'kupang'},-10.1667,123.5833,77.32,77.32,84,11,11.52
RU,{'kargasok'},59.0556,80.8572,53.65,53.65,96,100,15.37
MM,{'pyapon'},16.2833,95.6833,80.46,80.46,90,100,6.4
CA,{'hudson bay'},52.85,-102.3842,62.91,62.91,57,94,17.69
IE,{'killarney'},52.05,-9.5167,57.88,57.88,79,83,6.13
CA,{'westlock'},54.1502,-113.8688,69.01,73.36,40,31,20.71
SA,{'buraydah'},26.326,43.975,95.45,95.45,9,76,9.08
JP,{'ishikari'},43.2397,141.3539,61.03,61.03,89,81,8.95
CA,{'canmore'},51.0834,-115.3521,66.72,68.11,41,22,3.29
VU,{'isangel'},-19.55,169.2667,64.51,64.51,77,20,6.91
AU,{'ulladulla'},-35.35,150.4667,56.3,58.1,52,4,12.15
CN,{'jiangyou'},31.7667,104.7167,75.02,75.02,81,100,5.12
BA,{'ljubinje'},42.9508,18.0886,70.95,88.43,76,6,6.93
MX,{'tecoanapa'},16.5167,-98.75,85.24,85.24,59,11,8.19
US,{'north bend'},43.4065,-124.2243,73.56,79.92,65,62,5.79
JP,{'iwanai'},42.9744,140.5089,56.3,56.3,95,82,5.88
RU,{'anadyr'},64.75,177.4833,45.1,45.1,76,40,17.9
GB,{'poole'},50.7167,-2.0,63.41,66.24,84,20,5.01
CA,{'whitehorse'},60.7161,-135.0538,59.77,59.77,51,75,9.22
PL,{'marienburg'},54.0359,19.0266,61.92,63.88,77,4,7.63
GA,{'lekoni'},-1.5843,14.2591,84.97,84.97,45,100,7.16
CI,{'lakota'},5.8528,-5.6883,71.94,71.94,97,66,5.32
RU,{'deputatskiy'},69.3,139.9,58.71,58.71,83,100,2.73
NA,{'luderitz'},-26.6481,15.1594,57.0,57.0,80,79,5.35
CN,{'xuanhua'},40.6103,115.0447,66.79,66.79,66,50,3.51
CA,{'kenora'},49.8167,-94.4337,70.77,70.77,49,75,17.27
GB,{'stornoway'},58.2093,-6.3865,59.31,59.94,77,20,12.66
US,{'springdale'},36.1867,-94.1288,91.8,95.2,51,1,14.97
CA,{'sioux lookout'},50.1001,-91.917,66.27,68.38,59,75,11.5
KZ,{'emba'},48.8264,58.1442,72.73,72.73,40,0,18.7
US,{'nome'},64.5011,-165.4064,46.17,46.17,74,100,6.06
IN,{'tezu'},27.9167,96.1667,77.63,77.63,98,99,2.93
SL,{'bonthe'},7.5264,-12.505,77.41,77.41,86,100,10.92
BR,{'maceio'},-9.6658,-35.7353,76.44,76.44,83,75,8.05
LY,{'hun'},29.1268,15.9477,96.46,96.46,14,0,11.05
RU,{'ivangorod'},59.3716,28.2162,61.66,61.66,71,36,3.62
ZA,{'plettenberg bay'},-34.0527,23.3716,56.52,56.52,76,100,11.3
JM,{'lucea'},18.451,-78.1736,88.86,89.46,71,20,15.93
RU,{'ust-kuyga'},70.0167,135.6,59.97,59.97,89,97,1.77
CA,{'kapuskasing'},49.4169,-82.4331,80.6,80.69,61,75,18.41
AU,{'yeppoon'},-23.1333,150.7333,58.78,58.78,90,24,7.63
NG,{'damaturu'},11.747,11.9608,78.62,78.62,78,59,6.26
JP,{'miyako'},39.6367,141.9525,63.21,63.21,93,100,5.26
SO,{'bosaso'},11.2842,49.1816,88.09,88.09,59,8,5.59
CN,{'zhangzhou'},24.5133,117.6556,80.53,80.53,95,100,1.23
RU,{'kabansk'},52.0486,106.6528,57.69,57.69,71,0,3.94
AO,{'soyo'},-6.1349,12.3689,75.25,75.25,87,5,11.59
CN,{'shenjiamen'},29.9576,122.298,79.03,79.03,93,100,10.02
NE,{'dogondoutchi'},13.6393,4.0287,84.85,84.85,58,100,5.86
CA,{'hay river'},60.8156,-115.7999,57.18,58.96,72,75,16.11
RU,{'kenzhe'},43.5017,43.5572,70.59,70.59,68,75,6.71
AU,{'ballina'},-28.8667,153.5667,60.22,62.56,77,0,11.5
RU,{'sol-iletsk'},51.1631,54.9918,71.51,71.51,39,0,16.69
BR,{'santa luzia'},-19.7697,-43.8514,82.96,87.94,24,0,4.61
RU,{'yablonovo'},50.8523,37.3574,71.46,71.46,60,100,10.13
PT,{'aljezur'},37.3191,-8.8033,68.29,68.29,80,3,10.02
NC,{'vao'},-22.6667,167.4833,67.95,67.95,54,26,23.26
UY,{'rocha'},-34.4833,-54.3333,54.09,54.09,57,0,6.78
RU,{'temyasovo'},52.9933,58.1014,46.76,46.76,75,0,7.05
PG,{'samarai'},-10.6167,150.6667,77.67,77.67,87,89,11.27
